,Feature,Importance
37,avg_specific_heat_(J/g_K)_,0.0029848838713752465
18,avg_Number_of_unfilled_p_valence_electrons,0.0029787721609569745
1,avg_Allred-Rockow_electronegativity,0.002893040289358575
28,avg_heat_atomization(kJ/mol),0.0028741701597924767
91,range_Boiling_Point_(K),0.0028103536962257687
41,avg_valence_p,0.002727967887912207
23,avg_Zunger_radii_sum,0.0026611095835438314
79,sum_polarizability(A^3),0.002636934928584302
19,avg_Number_of_unfilled_s_valence_electrons,0.0026063972528664486
92,range_Cohesive_energy,0.0025853952334674106
59,sum_Number_of_unfilled_d_valence_electrons,0.002419278209755271
34,avg_number_of_valence_electrons,0.0023485578532753304
27,avg_group,0.002332766848364305
25,avg_families,0.0022789733276752967
26,avg_gilmor_number_of_valence_electron,0.0022468202862133985
117,range_ionic_radius,0.002189300638151917
127,range_valence_p,0.0021380168184054952
98,range_Mendele_Number,0.0020557661228755215
116,range_heat_of_vaporization_(kJ/mol)_,0.002036234491590757
0,avg_1st_ionization_potential_(kJ/mol),0.0019771228810864815
81,sum_thermal_conductivity_(W/(m_K))_,0.001917497330745849
2,avg_Atomic_Number,0.0018442072419447859
80,sum_specific_heat_(J/g_K)_,0.0018233064061881686
31,avg_ionic_radius,0.0016809417075101573
20,avg_Orbital_Radius(pm),0.0016711708356988261
56,sum_Molar_Denstiy_(mol/ml),0.0016054929215496788
51,sum_Critical_Temperature,0.0016038078944662902
30,avg_heat_of_vaporization_(kJ/mol)_,0.001511360735274953
128,range_valence_s,0.0015098158099781504
66,sum_Zunger_radii_sum,0.0013914491723885335
90,range_Atomic_Weight,0.0013704269891057768
106,range_Orbital_Radius(pm),0.001336588132251013
52,sum_Density_(g/mL),0.0013346569315393244
87,range_Allred-Rockow_electronegativity,0.001331532324199693
46,sum_Atomic_Radus,0.0012784652300218426
88,range_Atomic_Number,0.0012758931939176917
73,sum_heat_of_vaporization_(kJ/mol)_,0.0012454282858128868
54,sum_Melting_point_(K),0.0011961657224231605
93,range_Covalent_Radius,0.001176224403399283
50,sum_Covalent_Radius,0.001165911670115029
71,sum_heat_atomization(kJ/mol),0.001090842210207085
48,sum_Boiling_Point_(K),0.0010494899295517895
42,avg_valence_s,0.0010333763769695787
67,sum_abs_valence,0.0010064830985239202
47,sum_Atomic_Weight,0.0009903508223245948
105,range_Number_of_unfilled_s_valence_electrons,0.0009515878032603176
112,range_gilmor_number_of_valence_electron,0.0009355957136445216
43,sum_1st_ionization_potential_(kJ/mol),0.0009094423730200203
55,sum_Mendele_Number,0.0007917930740428827
53,sum_Gordy_electonegativity,0.0007566778299840682
62,sum_Number_of_unfilled_s_valence_electrons,0.0007359352671203954
113,range_group,0.0007242692675364646
83,sum_valence_f,0.0006859721365817297
17,avg_Number_of_unfilled_f_valence_electrons,0.0006409426778799037
120,range_number_of_valence_electrons,0.0006087411022885308
75,sum_l_quantum_number,0.0006022091456149693
61,sum_Number_of_unfilled_p_valence_electrons,0.0005804394272337395
49,sum_Cohesive_energy,0.0005365134292123252
74,sum_ionic_radius,0.000530337165816749
57,sum_Molar_Heat_Capacity(J/mol_K),0.00047549586724532356
69,sum_gilmor_number_of_valence_electron,0.0004629279259910516
44,sum_Allred-Rockow_electronegativity,0.00045821768956339214
58,sum_Nagle_electonegativity,0.00045554508511855794
122,range_polarizability(A^3),0.00042714803134665354
40,avg_valence_f,0.0003960277559246127
64,sum_Pauling_Electronegativity,0.00039165927668480336
65,sum_Period,0.0003902274168573941
108,range_Period,0.0003787203722502785
111,range_families,0.0003548266561388885
63,sum_Orbital_Radius(pm),0.0003545838193563716
45,sum_Atomic_Number,0.00033289716870524267
68,sum_families,0.0003320517121123834
70,sum_group,0.00032381919289948034
78,sum_outer_shell_electrons,0.00031101493641606494
60,sum_Number_of_unfilled_f_valence_electrons,0.00030824707296408523
118,range_l_quantum_number,0.0002776714655300546
125,range_valence_d,0.0002461312188000917
126,range_valence_f,0.0002083553222523558
104,range_Number_of_unfilled_p_valence_electrons,0.00017515669536404655
