,Feature,Importance
66,sum_Zunger_radii_sum,0.0013445570755349237
50,sum_Covalent_Radius,0.0012788792277202289
63,sum_Orbital_Radius(pm),0.001269031097316478
122,range_polarizability(A^3),0.0012675952182074181
42,avg_valence_s,0.0012626052036006944
117,range_ionic_radius,0.0012252892958613606
67,sum_abs_valence,0.001203611132528949
70,sum_group,0.001172124483509888
44,sum_Allred-Rockow_electronegativity,0.0011267488612753864
78,sum_outer_shell_electrons,0.0011255818227496293
106,range_Orbital_Radius(pm),0.0011103061532568425
68,sum_families,0.001059497667646049
45,sum_Atomic_Number,0.0010386082957250847
74,sum_ionic_radius,0.0010339421997139823
121,range_outer_shell_electrons,0.000872993588610649
46,sum_Atomic_Radus,0.0008104057288713383
65,sum_Period,0.0007829776829131436
113,range_group,0.0007262906207016436
77,sum_number_of_valence_electrons,0.0006824063659551394
69,sum_gilmor_number_of_valence_electron,0.0006749537272679824
62,sum_Number_of_unfilled_s_valence_electrons,0.0006285837127824371
108,range_Period,0.0006274689375646478
111,range_families,0.0006164085724057359
60,sum_Number_of_unfilled_f_valence_electrons,0.0005987774010297039
128,range_valence_s,0.00045752818817706227
40,avg_valence_f,0.0004373098627984719
17,avg_Number_of_unfilled_f_valence_electrons,0.0004326400143165758
105,range_Number_of_unfilled_s_valence_electrons,0.0003684670236482943
83,sum_valence_f,0.00023203235914094045
126,range_valence_f,0.00021149882190818814
103,range_Number_of_unfilled_f_valence_electrons,0.000148122478100796
