,Feature,Importance
114,range_heat_atomization(kJ/mol),0.0024955130053541386
99,range_Molar_Denstiy_(mol/ml),0.0024795704884268133
66,sum_Zunger_radii_sum,0.0023450488026526693
74,sum_ionic_radius,0.0023300052435103946
120,range_number_of_valence_electrons,0.0022885444640461166
20,avg_Orbital_Radius(pm),0.0022758096943091112
26,avg_gilmor_number_of_valence_electron,0.0022696704921810577
82,sum_valence_d,0.0022344885547353087
7,avg_Covalent_Radius,0.002059449538284803
107,range_Pauling_Electronegativity,0.002044451956583982
81,sum_thermal_conductivity_(W/(m_K))_,0.002038353491104382
52,sum_Density_(g/mL),0.0020298485869167564
31,avg_ionic_radius,0.0018002193389919003
30,avg_heat_of_vaporization_(kJ/mol)_,0.001789725165228694
103,range_Number_of_unfilled_f_valence_electrons,0.001743115860686199
123,range_specific_heat_(J/g_K)_,0.0017092948115398493
15,avg_Nagle_electonegativity,0.0016239505359870608
79,sum_polarizability(A^3),0.0015792258562732397
102,range_Number_of_unfilled_d_valence_electrons,0.0015687128986072495
93,range_Covalent_Radius,0.001548674257137876
122,range_polarizability(A^3),0.0014754771603318912
49,sum_Cohesive_energy,0.001452433985758429
47,sum_Atomic_Weight,0.0014344139417869488
67,sum_abs_valence,0.001431569920063847
59,sum_Number_of_unfilled_d_valence_electrons,0.0014315619913988526
58,sum_Nagle_electonegativity,0.0014252770244189002
19,avg_Number_of_unfilled_s_valence_electrons,0.0014126520413483394
63,sum_Orbital_Radius(pm),0.0013903921862229087
85,sum_valence_s,0.0013782296093953678
46,sum_Atomic_Radus,0.0012239911863297203
73,sum_heat_of_vaporization_(kJ/mol)_,0.0012052358113332764
62,sum_Number_of_unfilled_s_valence_electrons,0.0011658211203540282
75,sum_l_quantum_number,0.0010997845657747319
83,sum_valence_f,0.0010370226565704754
43,sum_1st_ionization_potential_(kJ/mol),0.0010283485217077969
51,sum_Critical_Temperature,0.0010278442727765199
27,avg_group,0.0010161193591777826
48,sum_Boiling_Point_(K),0.0010154448118423805
56,sum_Molar_Denstiy_(mol/ml),0.0010123629727049666
88,range_Atomic_Number,0.0010074408038924535
112,range_gilmor_number_of_valence_electron,0.0009828532878575261
54,sum_Melting_point_(K),0.0009394908289163953
104,range_Number_of_unfilled_p_valence_electrons,0.00091047977295262
22,avg_Period,0.0009034217666242698
117,range_ionic_radius,0.0008574238591982256
45,sum_Atomic_Number,0.0008509100613576942
17,avg_Number_of_unfilled_f_valence_electrons,0.0008471258584708119
78,sum_outer_shell_electrons,0.0008264385811065614
64,sum_Pauling_Electronegativity,0.0007799041678196962
106,range_Orbital_Radius(pm),0.0007593021739862883
53,sum_Gordy_electonegativity,0.0007554399129107269
61,sum_Number_of_unfilled_p_valence_electrons,0.0007070883133123498
65,sum_Period,0.0006908438391626386
70,sum_group,0.0006214483049069661
77,sum_number_of_valence_electrons,0.0006162930026857157
55,sum_Mendele_Number,0.000575800524034757
40,avg_valence_f,0.0005009148069094094
50,sum_Covalent_Radius,0.0004953831150482647
69,sum_gilmor_number_of_valence_electron,0.0004733801320843258
105,range_Number_of_unfilled_s_valence_electrons,0.00043662180354458313
60,sum_Number_of_unfilled_f_valence_electrons,0.00041811082832476465
57,sum_Molar_Heat_Capacity(J/mol_K),0.00036615992297730224
126,range_valence_f,0.000306573909832601
121,range_outer_shell_electrons,0.00024214447409449228
44,sum_Allred-Rockow_electronegativity,0.00022224924753897152
113,range_group,0.0001550063322388258
128,range_valence_s,0.00014405758887007898
127,range_valence_p,0.00011909958975197712
125,range_valence_d,9.229087411575393e-05
68,sum_families,7.258072204547126e-05
108,range_Period,2.6972035815540375e-05
