Formula,Material ID,a,b,c,avg_lattice,volume,density
Rb2VAgS4,mp-8901,13.711120703560194,12.220838853823292,7.467344045637109,11.133101201006866,476.9606297629563,3.189092121661404
Rb2VCuS4,mp-15219,13.561928279756165,12.09847747971017,7.2321792812763315,10.96419501358089,429.2400461153299,3.200712305196358
Rb3Bi2Br9,mp-1195363,8.25531125,13.492629431729648,19.282976760436362,13.676972480722005,2147.5838539848037,4.30988809516592
Rb3Bi2I9,mp-29895,8.454126,15.091377,25.947473309928313,16.497658769976102,2746.4582749639526,4.393114722569822
Rb3Cd(BO2)5,mp-1200569,20.490625,8.027968,8.47821773397027,12.332270244656756,1194.4883451595015,3.2411113933876408
Rb3Na(MoO4)2,mp-1104938,6.290703219233443,6.290729706264687,8.007576005929197,6.863002977142443,274.42918123451176,3.6261032230269685
Rb3Nb2AsSe11,mp-683902,10.383017807281272,10.383017807281272,10.245099456215396,10.337045023592646,1085.4299446944678,4.239804284426313
Rb3Sb,mp-16319,6.37521196,6.375212703162063,11.26663369,8.005686117720687,396.5647708918155,3.166973696862201
Rb3Sb2Br9,mp-1194576,7.68782753,13.695780937404926,19.481518060041292,13.621708842482073,2050.9431102852063,3.9480290760955437
Rb3Sb2I9,mp-1209693,8.426432,15.030509,25.706019075580585,16.387653358526862,2676.7916230801434,4.074595547815445
Rb3Ta2AsS11,mp-1209358,9.936591565445013,9.936591565445013,9.794687597536228,9.889290242808752,950.4351455140522,3.6547831776456174
Rb3Zn(BO2)5,mp-1020643,9.54307,10.655676,13.657372284774329,11.285372761591441,1161.1878303948022,3.0652019102901966
Rb4Ge(PSe3)4,mp-1195251,7.54793332,14.60121898,24.78142984,15.64352738,2731.1372765741,3.613789180140341
Rb4Ge3B6O17,mp-1020896,6.988833747957952,6.988833747957952,20.693492763716062,11.557053419877322,855.9499325679352,3.478982393240664
Rb4Mo5(PO11)2,mp-1199088,10.441798094567549,10.441798094567549,17.4450219,12.7762060297117,1130.9420203670604,3.6281350461029493
Rb4Ti3S14,mp-542067,11.422364418534192,11.42236999798453,13.473904676485528,12.106213031001417,1084.1742392830158,2.862230239415652
Rb5Li6(BO2)11,mp-1020620,6.910871499220992,6.910871499220992,13.909187862406634,9.243643620282873,565.423934219926,2.760280593656304
Rb7Th2(P2Se7)3,mp-585963,11.826269,12.662026832645397,16.537949739705976,13.67541519078379,2393.60201377705,4.032510964587649
RbAg2SbS4,mp-17756,6.663679076644751,6.663679076644751,16.7718719,10.033076684429835,644.9712341395654,4.257535546262503
RbAg5(PS4)2,mp-1195102,12.759448,12.801018,18.026973,14.529146333333335,2944.416229244205,4.255776533341282
RbBi3Se5,mp-1209327,4.16644261,12.46480101,22.18007722,12.937106946666667,1151.8974255548164,6.384470556501388
RbBiS2,mp-30041,8.078337323219287,8.078337323219287,8.078337087889254,8.078337244775943,115.35776208989007,5.161621539321554
RbBr,mp-22867,4.887451762313654,4.887451515721733,4.88745206,4.88745177934513,82.55292826433187,3.326427543971318
RbCd(BO2)3,mp-1197285,7.475147506036318,7.711238959213623,13.105058596192121,9.430481687147354,636.6976593217289,3.4041118632611513
RbCl,mp-23295,4.6792185502376125,4.679218897781741,4.6792186,4.679218682673118,72.44443938610804,2.7716925421197955
RbF,mp-11718,3.9826258889535486,3.9826258667318792,3.98262604,3.9826259318951425,44.66769821355681,3.8835717641775656
RbGaSnSe4,mp-1209628,13.19065,7.712388,18.697588096392806,13.200208698797601,1892.6659992364148,4.139294045385822
RbGeB3O7,mp-1199892,6.98405858,9.38745139,9.46468027,8.612063413333333,620.5281988679719,3.238362699988925
RbH2(IO3)3,mp-1192404,7.627633956497192,7.727171041921293,8.335889900752589,7.896898299723691,475.98343966440365,4.271443637659398
RbH3(SeO3)2,mp-24022,6.061721,6.488114,18.277622,10.275819,718.8430975555559,3.163872037503767
RbHgSbTe3,mp-1219595,8.389175451594872,8.389175451594872,12.02788,9.602076967729914,445.47819345660906,5.894123496652014
RbI,mp-22903,5.220098968885605,5.220098650704788,5.22009843,5.220098683196798,100.58221792977244,3.506111301341046
RbInS2,mp-601861,7.905383194327792,7.905383194327792,15.715311631554231,10.508692673403273,966.4425750723994,3.6345482043226403
RbInTe3O8,mp-1192556,5.873327,7.753141681156227,11.342300435020842,8.322923038725689,477.80202529853045,4.942539870061224
RbMoPO6,mp-1198591,10.266071184075141,9.822435952089378,8.4752227964873,9.52124331088394,574.7277312273445,3.563939064404949
RbNa2Sb,mp-975275,5.563108776016978,5.563108776016978,5.563108776016978,5.563108776016978,121.74122225192204,3.4537247930583703
RbNb3(TeO6)2,mp-1201687,4.116858,15.23982,17.828331,12.395002999999997,1118.5526048576505,4.8181113709505485
RbNb4Br11,mp-1201070,7.16036203,7.3460705,17.04019673,10.515543086666668,896.3232817966103,4.950316943343634
RbPSe6,mp-17945,6.97393333,11.64254045,12.05802982,10.224834533333334,979.0433013472184,4.004124228298113
RbSbS2,mp-10621,6.578233440676881,6.565341988757724,12.19450454795238,8.446026659128995,489.07996330808464,3.6852888012734573
RbSbSe2,mp-1189259,6.801577133472903,6.754273136582534,12.740249800062097,8.765366690039178,542.575632156056,4.470102607251972
RbTa3(TeO6)2,mp-1204836,3.989799,15.215144,17.765371,12.323438000000001,1078.453354295638,6.6239927752104375
RbTbSe2,mp-10782,8.306779567072937,8.306779567072937,8.306778810109355,8.306779314751743,123.58321647862664,5.405723540926321
RbV(CuS2)2,mp-15998,9.665709654377583,9.665709654377583,7.489758,8.940392436251722,377.0057409669853,3.451061205399365
RbY(TeO3)2,mp-1194706,6.144592,8.813867,14.004415,9.654291333333333,758.4457390792378,4.602726630487341
ReS2,mp-572758,6.399503979083078,6.503301233028446,13.267236401792928,8.723347204634818,467.5299135649283,7.113031380529443
ReSe2,mp-541582,6.644182681866914,6.765991241060319,7.0669011946764675,6.8256917058679,265.05201794220613,8.62376120443585
Rh2S3,mp-974381,5.98491181,5.9849105046151685,6.294944538986973,6.08825561786738,163.22288044051223,6.1448831192557245
RuS2,mp-2030,5.63060972,5.63060972,5.63060972,5.63060972,178.51153198083136,6.146853388312788
RuSe2,mp-1922,5.97163235,5.97163235,5.97163235,5.97163235,212.95075599608094,8.078168322945961
Sb2O3,mp-2136,4.96361487,5.40283676,12.37936514,7.581938923333333,331.9848734985325,5.832523086050206
Sb2Os,mp-2695,3.24311781,5.96539362,6.72350117,5.310670866666666,130.07604254222485,11.074427020701247
Sb2S3,mp-2809,3.84473291,11.36714114,11.80011845,9.003997499999999,515.7079119701428,4.375422722175947
Sb2Se3,mp-2160,4.00155687,11.71362971,12.3620732,9.359086593333332,579.4444338187419,5.506812533083567
Sb2Te3,mp-1201,10.880028548112099,10.880028555334485,10.880029441173736,10.880028848206772,169.92445719025892,6.120536415946441
Sb3IO4,mp-1209215,4.59489346,15.81208074,19.05310834,13.153360846666667,1384.300278465236,5.33735097648844
Sb5IO7,mp-556869,13.12612,6.949383,13.590367738133247,11.221956912711084,1077.5084613301387,5.225534520126911
Sb8I2O11,mp-1219562,4.231408857400216,10.143637630504799,10.820535652331635,8.398527380078884,435.9036007018905,5.3479747970104645
SbI3,mp-23281,8.356622236806462,8.356622443105396,8.356622563975316,8.356622414629058,351.97797437316626,4.741073521538678
SbOsS,mp-1102833,6.19454,6.284032779647318,6.287270606105403,6.25528112858424,227.567548364984,10.042148323235562
SbOsSe,mp-1101771,6.375814,6.454220896630747,6.498282488565883,6.44277246173221,246.30750611538141,10.542719681196585
SbPb2S2I3,mp-578882,16.748202,7.804178,8.758462334580196,11.103614111526731,1096.7478719307567,5.941181299600147
SbPbBrO2,mp-1206466,7.073626903667735,7.073626903667735,5.569879,6.572377602445157,207.1984593948095,7.066364340245682
SbPbIO2,mp-1219447,7.440388511681967,7.440388511681967,7.440388511681967,7.440388511681967,109.40494638709656,7.4047476439307545
SbRuSe,mp-1102395,6.368995,6.433422771562661,6.472530280079422,6.424982683880695,244.07644139394293,8.212739944046893
SbSBr,mp-22971,3.96725024,8.46953397,10.06229994,7.499694716666667,338.10093212572406,4.591719201212127
SbSI,mp-23041,4.10202463,8.84451577,10.50935264,7.818631013333333,381.2837437757244,4.890449799560453
SbSeBr,mp-1209072,4.04084569,8.49177124,10.71345544,7.74869079,367.6208373305021,5.070301437854808
SbSeI,mp-22996,4.17240215,9.03600667,10.71373639,7.974048403333334,403.92772149890897,5.387431489874499
SbTeI,mp-28051,7.484585044963734,7.484585044963734,9.619704420924238,8.196291503617235,226.99467602106913,5.5049912426188445
SbTeOs,mp-1103213,6.56268615,6.660948283529614,6.733009779656876,6.65221473772883,269.76474462118375,10.823599196577488
SbTeRh,mp-1219458,6.44668078,6.44668078,6.44668078,6.44668078,267.9220745965157,8.73314564238582
SbTeRu,mp-1102857,6.56301599,6.646264259910193,6.708029330911532,6.639103193607242,267.42505422475244,8.70378741132592
Sc(CuSe)3,mp-1219527,7.502039099548135,7.502039099548135,7.502039459119167,7.5020392194051455,257.0687782050894,6.103902576604674
Sc2O3,mp-216,8.54160167356635,8.541602070953498,8.54160167,8.54160180483995,479.72910891946253,3.818904932303188
