Formula,Material ID,formula_unit_mass,volume,density,estimate_density
InSe,mp-20485,775.112,246.56121587528438,5.220219864755624,5.220222799075761
IrS2,mp-2833,2050.776,405.32579294529916,8.401620928439797,8.40162565104653
IrSe2,mp-1361,2801.096,476.9405361681865,9.752430302247923,9.752435784153546
K10Zn4Sn4S17,mp-1224229,1672.564,1028.1992020550306,2.7011865578554635,2.701188076210306
K2Ag3Sb3S7,mp-1223709,1983.0724,805.0869069974683,4.0902033848459745,4.09020568397637
K2Al2B2O7,mp-560217,797.3324316000001,535.6370482027401,2.471826129617969,2.4718275190477965
K2Au(IO3)5,mp-1195201,2299.3530379999997,832.224040424509,4.58790585472247,4.587908433614716
K2BaNb2S11,mp-1212599,6032.410879999999,3400.06816347644,2.9461332686285986,2.9461349246696096
K2Bi8Se13,mp-28800,2776.5198,705.0161079618769,6.53959469155523,6.5395983675046905
K2Cd2Te3,mp-571637,8229.823199999999,3146.506426838055,4.343211511741299,4.343213953089236
K2Cd3S4,mp-18101,2174.7583999999997,954.7885720764292,3.7822732584271366,3.7822753844679693
K2Cd3Se4,mp-1198419,2925.0784,1065.6002399202484,4.558188684746677,4.558191246934707
K2Cd3Te4,mp-18531,3703.3184,1334.4596269230728,4.6082359894527585,4.608238579772709
K2Ce(PO4)2,mp-1195550,1633.0212960000001,700.135814839327,3.8730994774493355,3.8731016545441865
K2FeGe3Se8,mp-1200819,3934.5663999999997,1699.065259564877,3.8453503657681294,3.8453525272650215
K2Ga3CuSe6,mp-10973,3298.6863999999996,1313.6620051296277,4.1697161174434685,4.169718461268497
K2Gd2Sb2Se9,mp-1199482,5387.4264,1747.8917918181535,5.118184116149749,5.118186993114918
K2Ge2PbS6,mp-561132,1246.1332,633.2082364598252,3.267886836652918,3.2678886735537382
K2Ge3(BO5)2,mp-560019,955.4652000000001,457.0454165947282,3.4713996328807797,3.47140158417749
K2Hg(PSe3)2,mp-568855,3257.976496,1355.568189860557,3.9909443804734663,3.9909466238097178
K2Hg3(GeS4)2,mp-17792,2163.5332,796.9853382781444,4.507776025400731,4.507778559251471
K2Ho4Cu4S9,mp-1172870,1280.68688,403.49503993574325,5.27052475455642,5.270527717153269
K2In2P3Se10,mp-1199715,4761.4155439999995,2031.4981151238244,3.891963504306067,3.8919656920045136
K2In3AgSe6,mp-21705,4017.1152,1457.8481808855563,4.575631956806841,4.57563452879985
K2In3CuSe6,mp-21713,3839.8264,1465.321734016757,4.3513868648379175,4.3513893107812756
K2La2Sb2S9,mp-1223734,1776.2250800000002,800.1674206959846,3.686092510301465,3.686094582278463
K2La2Ti3O10,mp-6548,659.60254,229.90248601795102,4.764175477480776,4.764178155455345
K2Mn(SnSe3)2,mp-669410,3377.2585799999997,1416.8781586481362,3.9580466223368003,3.9580488471810042
K2MnSnSe4,mp-628305,2270.73858,949.2267982172823,3.9723384645348903,3.972340697412634
K2Mo2Se2O11,mp-1195788,2415.96,1089.9361367268739,3.68076241181482,3.6807644807957343
K2NbCuS4,mp-9763,725.81796,437.92127287621315,2.7522049109512037,2.7522064579838004
K2NbCuSe4,mp-9003,1100.97796,485.22742179353367,3.767752670053107,3.767754787931821
K2Nd2Ti3O10,mp-1223975,670.2755999999999,227.79419465656878,4.886071924996966,4.886074671490336
K2PAuS4,mp-9509,868.793862,444.1260999059251,3.248325529571162,3.2483273554764422
K2PdSe10,mp-505138,3896.8664,1638.3481367770028,3.949648276373425,3.9496504964968633
K2RbSb,mp-976148,285.4244,155.9734974520662,3.038710899629099,3.038712607708608
K2ReH9,mp-29877,820.4251800000001,432.7508439195439,3.148111856404887,3.1481136259793985
K2S,mp-1022,110.2616,101.87707708492104,1.79720207513612,1.7972030853553018
K2Se,mp-8426,157.1566,112.88877285139449,2.311697321907826,2.311698621328191
K2SmP2S7,mp-555587,1029.918248,698.7536160930132,2.4475286378776673,2.4475300136497142
K2Sn(AuS2)2,mp-557121,1438.199476,522.2477198864116,4.572899649961282,4.572902220418442
K2Sn2Hg3S8,mp-18115,2347.8132,896.5918122658569,4.348283674180082,4.348286118379116
K2Sn3(SbS5)2,mp-1195395,1996.9932,982.7928967245504,3.3741444768133624,3.3741463734423056
K2Te,mp-1747,205.7966,136.9551271112786,2.4952208893631918,2.4952222919433686
K2TeI6,mp-27688,1934.44684,782.65583032034,4.104261957348686,4.104264264381497
K2Th(CuS2)2,mp-555425,565.5866599999999,209.501642391138,4.48291829008372,4.482920809961763
K2Ti(CuS2)2,mp-1211474,762.8312,398.5077399150707,3.178635900751431,3.1786376874837097
K2VAgS4,mp-8900,730.5326,421.4864010184208,2.878095043621239,2.8780966614175134
K2VCuS4,mp-15147,641.8882,409.48035839028637,2.6030074719081777,2.6030089350759065
K2Zn(SnSe3)2,mp-1195072,3419.1423999999997,1404.5585792095703,4.042280338826182,4.042282611018716
K2ZnTe2,mp-12535,797.6112,356.9169323786678,3.7108482041768958,3.7108502900692324
K3B6ClO10,mp-1189091,377.60790000000003,271.71698668021867,2.3076682745077526,2.307669571663364
K3Bi2I9,mp-1120792,3354.7918600000003,1307.4982713329928,4.2606273874169585,4.260629782343813
K3Cd(BO2)5,mp-1204785,1775.0196,1097.0975059894447,2.686624820209065,2.6866263303786586
K3Cr2(PS4)3,mp-559251,2795.953544,2252.3668525323537,2.06129391532769,2.061295073994643
K3NaSn3Se8,mp-628185,2256.1893385599997,966.4651986079944,3.8764877863386964,3.8764899653381386
K3Nb2AsSe11,mp-542545,2493.17852,1016.0095895348851,4.074784701946772,4.074786992410224
K3Sm(AsS4)2,mp-560964,1348.0362,817.3821372077731,2.738580489338498,2.738582028712717
K3Ta2AsS11,mp-1211748,1813.65452,895.3075652696951,3.363809600858748,3.3638114916783897
K3Ta2AsSe11,mp-683905,2845.3445199999996,1006.9052406097265,4.692403557791735,4.692406195422833
K3Th2Cu3S7,mp-638086,1992.9280400000002,718.2321593686903,4.607611653384328,4.6076142433533365
K3Ti2P5S18,mp-1211873,1890.13542,1452.843689690634,2.160345072457682,2.1603462868019463
K4Ge(PSe3)4,mp-1195433,5201.792992000001,2600.860148794277,3.3211245455033245,3.3211264123294133
K4GeS4,mp-556627,2858.3456,2093.163276039361,2.2675701360599274,2.26757141067611
K4GeSe4,mp-568847,4358.9856,2361.605226743571,3.0649770747364578,3.0649787975803586
K4Nb2S11,mp-15148,2779.6838399999997,1888.550859177071,2.4440822372811333,2.444083611115936
K5In3P6Se19,mp-1199321,4452.056144,1991.715734189256,3.7117812682329694,3.711783354649788
K6Cd4Sn3Se13,mp-6296,2066.8438,1092.463628086542,3.1415918903142805,3.1415936562238755
K6CdTe4,mp-17698,1714.8016,895.7007698781348,3.1790695554002975,3.1790713423763366
KAg2PS4,mp-12532,414.068462,188.3610971996221,3.6503124457238347,3.6503144975886217
KAg2SbS3,mp-1192667,1891.1588,726.0927770122515,4.3249887176489406,4.324991148753725
KAg2SbS4,mp-9490,504.8547,213.80070957349596,3.9210859214592033,3.921088125527553
KAsSe2,mp-14659,1087.7595999999999,513.9751098231823,3.5143089156410343,3.514310891057336
KAu(IO3)4,mp-557441,935.675549,316.77895970479545,4.904763258976577,4.9047660159764686
KBaAsSe3,mp-1191826,1952.9076,794.2359513210475,4.083017594288178,4.0830198893793925
KBaB5O9,mp-557420,1497.8996,836.7543353360422,2.972581913956382,2.9725835848643514
KBaSbSe3,mp-1190698,2140.2612,817.480243939545,4.3474901830056005,4.347492626758608
KBi3S5,mp-1223584,3305.4579999999996,1212.1805061007378,4.52807326498068,4.528075810240633
KBiS2,mp-1223443,312.2087,108.9948255442475,4.756507849741324,4.756510523405868
KBiSe2,mp-36539,811.9974,245.4177223692321,5.494115875825066,5.494118964103965
KBr,mp-23251,119.00229999999999,71.51789670129197,2.7630562038282562,2.7630577569604364
KCl,mp-23193,74.5513,62.02905560334427,1.9957638386024725,1.9957649604345356
KCu2BiS3,mp-1194436,1885.4628,655.0900951371739,4.779319152070868,4.779321838557797
KCu2SbS3,mp-1192531,1536.5812,622.7383577244839,4.097311623659423,4.097313926785406
KCu3S2,mp-9868,587.7326,212.8836098399082,4.584443789488176,4.584446366434375
KCu4AsS4,mp-557728,992.9278,395.1801754056408,4.172262438318803,4.172264783575136
KF,mp-463,58.0967032,37.40551869412881,2.5790805387069127,2.5790819884251537
KH3(SeO3)2,mp-1180593,1184.1540799999998,681.9253896360369,2.8835032990387264,2.883504919875016
KI,mp-22898,166.00277,88.90698700144401,3.1004771845922225,3.1004789273909696
KIO3,mp-1200675,1712.00776,704.0856635733552,4.037656090559175,4.037658360152389
KIn(TeO3)2,mp-1195253,2020.4508,683.4688824053914,4.9088372154348106,4.9088399747247
KInS2,mp-505412,1744.3704,911.2745327648748,3.1786197152159876,3.1786215019391677
KInSe2,mp-505700,2494.6904,1032.312618527746,4.012864701954274,4.012866957612084
KLiCO3,mp-562137,424.19280000000003,325.6841102340035,2.1627973058444216,2.162798521567103
KNa2Sb,mp-15724,206.83783856000002,114.33950763074155,3.0038813223614054,3.0038830108629786
KNb3(SeO6)2,mp-1202434,2670.92096,1085.1063115735167,4.08731250622745,4.0873148037328635
KNb3(TeO6)2,mp-1202170,3060.04096,1109.6312803873006,4.579284713118945,4.579287287165192
KP(HO2)2,mp-23959,272.171084,189.4447175151278,2.385660174160203,2.385661515155577
KPSe3,mp-569702,7366.849488,3731.404010154259,3.2783749332146126,3.2783767760108615
KPSe6,mp-18625,2175.328248,944.170638694595,3.825810071235391,3.8258122217485537
KSb,mp-1536,1286.8664,618.1228513850983,3.4570667075428854,3.4570686507829635
KSb(SO4)2,mp-1195296,1411.934,732.4164460364341,3.2011454400686317,3.2011472394536717
KSb5S8,mp-15559,3617.6732,1511.7222250925602,3.9738039033090344,3.9738061370105107
KSbS2,mp-11703,449.9766,238.9857669027302,3.126561606741884,3.126563364202857
KSbSe2,mp-9576,1275.1132,532.3938582658552,3.977084352239109,3.977086587784547
KSiBiS4,mp-866651,1617.6968,727.5168453239022,3.692352626031423,3.6923547015272726
KSm2CuS4,mp-11604,1063.2486,386.512471471751,4.567940152318723,4.5679427199881175
KSnAuS3,mp-1223460,3607.7589519999997,1344.8786806595833,4.454546546706895,4.454549050636993
KSnAuSe3,mp-1223442,4733.238952,1486.3556362407762,5.287918987697528,5.287921960071792
KTa3(TeO6)2,mp-1200554,4116.53896,1068.085353831089,6.399932119415574,6.399935716859778
KTaO3,mp-3614,268.04438,63.7546200303669,6.981426041917768,6.981429966223557
KTeP2,mp-1188829,914.583296,468.84872989344245,3.239213835586062,3.239215656369599
KThCuS3,mp-12365,861.75472,305.8895164931984,4.678085717980998,4.678088347563943
KTiPO5,mp-6268,1583.488496,864.9794302299275,3.0398925306474887,3.0398942393912005
KUClO3,mp-1095429,721.1568199999999,258.7896866741998,4.627344652503922,4.627347253564979
KV4Ag11O16,mp-553910,6741.6196,1955.7649278532347,5.72396127905017,5.723964496526691
KY(TeO3)2,mp-1194980,1916.8022,738.0219120414948,4.312778366214509,4.312780790455775
KZn4(BO3)3,mp-6652,954.3238,454.1286945621525,3.489521739237472,3.489523700720738
La10Se14O,mp-558535,10041.976400000001,2710.9276493222596,6.151065714440611,6.151069171995362
La2Fe(SeO)2,mp-1078132,523.5747399999999,138.37567832289784,6.283013898050536,6.283017429774234
La2HfS5,mp-1197947,2466.50376,699.7186768128346,5.8533893507766726,5.853392641005568
La2Mn(SeO)2,mp-1196301,4181.34228,1197.5210851114016,5.798045890874985,5.798049149994957
La2MoO5,mp-1105399,907.49588,248.39888927943602,6.066582527361159,6.066585937427351
La2O3,mp-1968,325.80914,81.78386608522705,6.615226585908185,6.615230304370834
La2S3,mp-7475,1496.02376,504.1879526114183,4.927142517339004,4.927145286918425
La2Se3,mp-32798,4117.52752,1131.0472000690804,6.045119341034584,6.045122739036177
La2TiCoO6,mp-1211314,1922.4301400000002,504.10583542498415,6.332539966707742,6.3325435262703715
La2Zn(SeO)2,mp-1196943,4265.10992,1198.6164064689565,5.90879751626913,5.908800837643323
La2ZrS5,mp-1198687,2117.43976,708.3562214576181,4.963733410030479,4.963736200177883
La3CuGeSe7,mp-510011,2211.24482,625.8645628899561,5.866857826990432,5.866861124790049
La3LuSe6,mp-645695,4261.773639999999,1093.9067230200994,6.469328209893499,6.469331846345704
La3Mo4O16F,mp-1198818,2150.9304263999998,765.5876331086313,4.665310472784239,4.665313095186135
La4Cd4In2S13,mp-1196490,6606.987520000001,2124.8074850959506,5.16336701863756,5.163369921000336
La4Fe(SbS5)2,mp-1203562,4702.54752,1528.2315865418607,5.109673126945966,5.1096759991270515
La4InSbS9,mp-1196663,8646.27904,3058.8233614247547,4.693793145334563,4.693795783746758
La6Sb4(SO4)3,mp-1223262,3217.3212399999998,922.6833055470552,5.790163945422655,5.790167200112132
La8Sb2S15,mp-1195582,7342.95504,2564.341926855344,4.754928966575054,4.754931639352098
LaCuSO,mp-6088,501.03174,135.84241264338414,6.124617206709288,6.124620649397158
LaCuSeO,mp-552488,594.82174,146.14257085077844,6.758638028487416,6.758641827562587
LaCuTeO,mp-546790,692.10174,164.19791995991815,6.999248087992701,6.999252022316378
LaF3,mp-905,1175.4040776,326.1652750807279,5.984096220582201,5.984099584282294
LaGaO3,mp-5837,1026.50668,244.776697806021,6.9637120671375285,6.963715981486174
LaGaS3,mp-4816,3657.8816399999996,1399.3919751039664,4.34049606706342,4.3404985068849875
LaMg2H7Pd,mp-1180682,1203.9642,454.391481212654,4.399795488138083,4.399797961292249
LaTaN2O,mp-550514,727.7322999999999,133.42307958564874,9.057113041682872,9.05711813274606
LaVI5O16,mp-1202389,4321.43888,1474.4794468918487,4.866746769031425,4.866749504661997
LaZnAsO,mp-549589,590.47094,154.89931395845508,6.329918696896234,6.32992225498543
Li2B4O7,mp-4779,676.4872,466.64867875942014,2.4072358388353647,2.407237191958563
Li2CdGeS4,mp-1189383,654.386,350.5641099724573,3.0996713203798323,3.099673062725598
Li2CdSnS4,mp-1188784,746.526,374.1396937644697,3.313296097401023,3.3132979598266896
Li2Ga2GeS6,mp-554782,836.716,489.29861987700843,2.8395739313520427,2.839575527495344
Li2In2GeS6,mp-1191476,1017.096,518.1722214385723,3.2593944109811965,3.2593962431083683
Li2In2GeSe6,mp-1191200,1579.836,599.6262885580255,4.375023988907741,4.3750264481376835
Li2In2SiS6,mp-1191903,927.987,501.7393280987524,3.0712335679088767,3.0712352942695933
Li2In2SiSe6,mp-1191817,1490.7269999999999,584.6080787208679,4.2343075835552195,4.234309963687538
Li2PtO3,mp-531826,3083.5703999999996,666.1738716940547,7.6862653000641314,7.68626962056473
Li2TeMoO6,mp-1203622,1333.6736,512.6939384353232,4.319569530413783,4.319571958472406
