Formula,Material ID,formula_unit_mass,volume,density,estimate_formula_unit_mass
AlN,mp-661,81.9764772,42.52728307818043,3.200889713142437,136.1251429328442
AlP,mp-1550,57.9553006,40.983457924417976,2.3481923106714797,96.23704076284642
AlSb,mp-2624,148.7415386,59.15180866014202,4.175546636123753,246.9911356714919
AlV(TeO4)2,mp-1194859,1844.4729544,659.6116814819885,4.64336742973821,3062.81939806832
As2Ir,mp-15649,1368.2408,212.13472096243026,10.710256626582213,2272.0173009160376
As2O3,mp-1582,791.3656,319.14943889553336,4.117486464369091,1314.0934947633489
As2Os,mp-2455,680.1464,102.41355313495791,11.02793169102378,1129.40966820735
As2Pt,mp-2513,1379.7087999999999,216.90309132645186,10.562598941863977,2291.0603629318057
As2Rh,mp-15954,1010.9947999999999,209.600517428747,8.009504852964664,1678.7963615294536
As2Ru,mp-766,501.8264,101.2371077110571,8.23119467448224,833.3023418512381
As2S3,mp-1189572,984.1528,526.4141283759965,3.1044458797969714,1634.2241719037763
As2Se3,mp-909,1546.8928,561.6818628364059,4.573186524611721,2568.6759262422606
AsBr3,mp-23317,1258.5344,560.7410145346511,3.72693540099669,2089.8455378599906
AsI3,mp-23218,911.27002,340.2057580755575,4.447894935673873,1513.1994684313631
AsOsS,mp-1214793,1188.8663999999999,197.09464264356782,10.016300167723147,1974.159102168102
AsP,mp-1228799,211.790724,92.26506394301332,3.8117002917021154,351.6867711454982
AsPPt,mp-1228792,1203.9174480000001,206.4863758833495,9.681762037872932,1999.151955365374
AsPRu,mp-1228753,413.930724,96.24478717678332,7.141666143491955,687.3481380680221
AsRuS,mp-1214786,832.2264,194.96319849644567,7.088232343916291,1381.9444494558782
AsS,mp-542810,1711.7856,871.8557048070456,3.2602721376611328,2842.48686244332
AsSeI,mp-505373,1123.14428,397.0435141879109,4.69728099748195,1865.0249543683287
B2Mo(PbO2)6,mp-1196917,3105.5095999999994,693.0149119258148,7.441138601435116,5156.820012501337
B2O3,mp-306,208.86059999999998,135.3764045815366,2.561902769138968,346.8211857735159
B2Se2O7,mp-558521,1166.1511999999998,541.0833060647883,3.5788197555860344,1936.4396251624692
B3Pb10Br3O13,mp-1229254,5104.2744,1206.2595178762904,7.026553508791071,8475.847047846275
B3Pb3NO10,mp-1200969,3312.1348,921.309525454465,5.969686709287374,5499.929229245377
B4C,mp-1238815,165.76409999999998,108.28781431659964,2.541908945405635,275.257763889789
B6As,mp-624,279.5752,129.317419464123,3.589969113026614,464.24554165250817
B6P,mp-28395,191.67952400000001,122.07265749137633,2.607392551372756,318.2913378692923
BAs,mp-10044,85.73259999999999,27.982045483901548,5.087631340714321,142.36233158119114
BH(PbO2)2,mp-1105235,980.4330799999999,263.1503813722347,6.186756876571033,1628.0474315269626
BP,mp-1479,41.784762,23.272944325085422,2.9813687825821957,69.38522968958314
BPb7Br3O7,mp-1201413,7251.675199999999,1626.734620148762,7.402369027342132,12041.689967894365
BSb,mp-997618,132.571,36.84952451081099,5.974007196039766,220.13932459822857
BSbPbS4,mp-1228703,936.0619999999999,352.52513281924956,4.409238874201632,1554.3675197597288
Ba(BO2)2,mp-540659,1337.6796,602.1936302946864,3.688629574688248,2221.269234393861
Ba(GaS2)2,mp-849286,4860.396,2083.8769584043566,3.8730105463262645,8070.877437146371
