params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 7000}",0.3856542357600135,0.4060975924371781,0.44127000082600726,0.36020966840134383,0.36259163703204145,0.3302635400930468,0.44756627490208223,0.4521485821174593,0.42141934002870257,0.37711263543325374,0.3984333507031129
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 9000}",0.38572367292839543,0.40613058801886903,0.4411600514178368,0.3601563913349781,0.3624199506540141,0.33022148815499514,0.44751527542609737,0.4523409308553583,0.4214987449092193,0.3769786961795326,0.39841457898792965
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 1000}",0.3809039633974507,0.3948821493160096,0.4391046570712088,0.4103204346350145,0.39746231920738717,0.3726119370424573,0.43477664668922017,0.4440526259778061,0.4129272644541391,0.3824968511618966,0.40695388489525897
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 3000}",0.3789743138361958,0.39337755520704043,0.4367227490810415,0.40733428051162496,0.39418554070458944,0.3699896529443699,0.4335486706722624,0.4420951744162474,0.4115003274436603,0.3779751350938545,0.4045703399910886
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 5000}",0.37901209234367317,0.3933472786218805,0.4366696856980254,0.40719676491568574,0.3940828413445264,0.36987836360732995,0.4334488998344383,0.44209020506408103,0.4114544207051064,0.377728774939462,0.4044909327074208
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 7000}",0.379010023522426,0.39334359315678624,0.43665488546887915,0.4071890152068339,0.39407393672548957,0.36987246127909285,0.4334527397862166,0.4420892803401592,0.4114562662735482,0.3777102506490225,0.40448524524084545
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 9000}",0.3790095658756658,0.3933435631721426,0.43665383016232207,0.4071880852688843,0.3940731906798693,0.36987170358036414,0.433453027704116,0.4420878120938285,0.4114565849446259,0.37771029964836267,0.40448476631301816
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000}",0.3902082264341703,0.41522268923016853,0.4571608552774801,0.4127377914955151,0.41296144407485597,0.3950072034468197,0.44994693467410873,0.427154247673193,0.424125864361885,0.3893242457431768,0.41738495024113736
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 3000}",0.39011050700136574,0.41510886687171394,0.4566833666787023,0.41231386912069246,0.41247027357313953,0.39431726538817724,0.44953414093913896,0.4271048624788419,0.4236965941424578,0.38838808275099523,0.41697278289452255
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 5000}",0.3901080057246862,0.4151071551889359,0.4566763773714377,0.41231152270322635,0.4124683194315191,0.39431297101024354,0.4495337730565387,0.4271014427640055,0.42369269950096206,0.38838136643768334,0.41696936331892387
"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 7000}",0.39010795619588245,0.4151071292975431,0.4566762514904154,0.41231149667435457,0.41246830767591114,0.39431289748549797,0.44953377613570816,0.4271014325052209,0.42369270474360293,0.38838128319995324,0.41696932354040894
