params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 1000}",0.6983197015901352,0.560115983804658,0.6673508878126997,0.6374266354610686,0.5423001181588155,0.6171006347720769,0.7244063465563759,0.7981489012002848,0.6462606366699924,0.8473439002793502,0.6738773746305458
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 3000}",0.7090019297182285,0.5481566159335226,0.6594905620555448,0.6377438441326692,0.5374037487675464,0.6145575987542565,0.7247053249032576,0.7936166111594397,0.6441306706114254,0.8467496086183973,0.6715556514654288
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 5000}",0.7088847903187261,0.5479686014741794,0.6598891342982304,0.6373961182897138,0.5366987941712066,0.6151969093323929,0.7249335837195139,0.7933110077361729,0.6436887572947787,0.8478927549170643,0.6715860451551979
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 7000}",0.7089088781426788,0.5478857398816065,0.6600231588540333,0.6373226446288912,0.5366597701466,0.615143870028668,0.7248567514241357,0.7933443016790309,0.6436775504324062,0.8479224622388988,0.6715745127456948
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 9000}",0.7089192605261867,0.5478488950847556,0.6600364157660571,0.6373194783710563,0.5366291693631885,0.6151388543492745,0.7248623786719801,0.7933518065505846,0.6436940664964883,0.8479199299070356,0.6715720255086607
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 1000}",0.6849438497173598,0.5543132447925581,0.7204258951551894,0.6440695492104227,0.6396737332161452,0.6660234738144599,0.6673864045367321,0.7978258528152768,0.6591716912932639,0.9413884473004452,0.6975222141851853
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 3000}",0.6853084486496759,0.5541473728773397,0.7203506522285628,0.6442261219753707,0.6400614854693837,0.6655706441516074,0.6674844394830793,0.7979559523856959,0.6590667690013026,0.9415384490223874,0.6975710335244406
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 5000}",0.6853092510553597,0.5541478384356738,0.7203496024197782,0.6442256225263736,0.6400616173180819,0.6655690797573457,0.6674853521327205,0.7979556429299334,0.6590663349932003,0.9415377776639481,0.6975708119232416
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 7000}",0.6853092563729117,0.5541478385976739,0.7203496064455612,0.6442256221910405,0.6400616151945944,0.6655690760994303,0.6674853582568028,0.7979556469017415,0.6590663355139282,0.9415377736535048,0.6975708129227189
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 9000}",0.6853092563729117,0.5541478385976739,0.7203496064455612,0.6442256221910405,0.6400616151945944,0.6655690760994303,0.6674853582568028,0.7979556469017415,0.6590663355139282,0.9415377736535048,0.6975708129227189
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 1000}",0.7316752183617642,0.5918273658131213,0.8191245019785335,0.6437147298495844,0.7267470735737687,0.7124791165450364,0.7247035776738779,0.8531214144914999,0.6761454505096073,1.002711653458363,0.7482250102255156
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 3000}",0.7316817553669649,0.5918359458235211,0.8191388423133991,0.6437039793685508,0.7267169211209558,0.7124681751916075,0.7247244526582445,0.8531136428633352,0.676135645389385,1.0027199379936829,0.7482239298089646
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 5000}",0.7316817553669649,0.5918359458235211,0.8191388423133991,0.6437039793685508,0.7267169211209558,0.7124681751916075,0.7247244526582445,0.8531136428633352,0.676135645389385,1.0027199379936829,0.7482239298089646
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 7000}",0.7316817553669649,0.5918359458235211,0.8191388423133991,0.6437039793685508,0.7267169211209558,0.7124681751916075,0.7247244526582445,0.8531136428633352,0.676135645389385,1.0027199379936829,0.7482239298089646
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 9000}",0.7316817553669649,0.5918359458235211,0.8191388423133991,0.6437039793685508,0.7267169211209558,0.7124681751916075,0.7247244526582445,0.8531136428633352,0.676135645389385,1.0027199379936829,0.7482239298089646
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 1000}",0.8290880051821126,0.6090834633781415,0.8874476134515753,0.678763432050125,0.706337280160605,0.7658852195943633,0.7818052540742801,0.8213424048554799,0.6875499386842305,1.0193139529349695,0.7786616564365882
"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 3000}",0.8290880356047509,0.6090834700018197,0.8874475508465582,0.67876335088103,0.7063372807132139,0.7658851388075332,0.7818052796023447,0.8213424305171271,0.6875499139510397,1.019314038341497,0.7786616489266914
