,0,1,2,3,4,0
0.14,0.572190877,0.557212405,0.547005899,0.550885546,0.538973323,0.55325361
0.141,0.572190877,0.557212405,0.547005899,0.550885546,0.538973323,0.55325361
0.142,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.143,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.144,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.145,0.572190877,0.557212405,0.545672465,0.550885546,0.540616861,0.553315631
0.146,0.572190877,0.557212405,0.554765152,0.54557787,0.540616861,0.554072633
0.147,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.148,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.149,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.15,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.151,0.572190877,0.557212405,0.554765152,0.54557787,0.551061151,0.556161491
0.152,0.577002892,0.557212405,0.554765152,0.54557787,0.551061151,0.557123894
0.153,0.577002892,0.557212405,0.554765152,0.54557787,0.551061151,0.557123894
0.154,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.155,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.156,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.157,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.158,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.159,0.577002892,0.557212405,0.554765152,0.54557787,0.544338976,0.555779459
0.16,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.161,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.162,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.163,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.164,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.165,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.166,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.167,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.168,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.169,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.17,0.57373572,0.557212405,0.554765152,0.54557787,0.544338976,0.555126024
0.171,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.172,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.173,0.57373572,0.557212405,0.554765152,0.577039878,0.544338976,0.561418426
0.174,0.57373572,0.559482375,0.554765152,0.577039878,0.544338976,0.56187242
0.175,0.57373572,0.559482375,0.554765152,0.577039878,0.544338976,0.56187242
0.176,0.57373572,0.559482375,0.554765152,0.577039878,0.551061151,0.563216855
0.177,0.57373572,0.578928391,0.554765152,0.577039878,0.551061151,0.567106058
0.178,0.57373572,0.578928391,0.554765152,0.577039878,0.551061151,0.567106058
0.179,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.18,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.181,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.182,0.57373572,0.578928391,0.554765152,0.577039878,0.583931256,0.573680079
0.183,0.57373572,0.578928391,0.554765152,0.575450473,0.583931256,0.573362198
0.184,0.57373572,0.578928391,0.554765152,0.607047193,0.583931256,0.579681542
0.185,0.57373572,0.578928391,0.558745093,0.607047193,0.566489753,0.57698923
0.186,0.57373572,0.578928391,0.592875987,0.607047193,0.566489753,0.583815409
0.187,0.57373572,0.599567205,0.592875987,0.607047193,0.566489753,0.587943172
0.188,0.62128517,0.599567205,0.592875987,0.607047193,0.566489753,0.597453062
0.189,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.19,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.191,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.192,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
0.193,0.605866208,0.599567205,0.592875987,0.607047193,0.566489753,0.594369269
