,Feature,Importance
117,range_ionic_radius,0.0021893006381469154
127,range_valence_p,0.0021380168184159678
98,range_Mendele_Number,0.0020557661228624044
116,range_heat_of_vaporization_(kJ/mol)_,0.0020362344915603363
0,avg_1st_ionization_potential_(kJ/mol),0.0019771228810038922
81,sum_thermal_conductivity_(W/(m_K))_,0.0019174973306386898
2,avg_Atomic_Number,0.0018442072419169913
80,sum_specific_heat_(J/g_K)_,0.0018233064061659527
31,avg_ionic_radius,0.0016809417074413842
20,avg_Orbital_Radius(pm),0.0016711708355831756
56,sum_Molar_Denstiy_(mol/ml),0.0016054929215175544
51,sum_Critical_Temperature,0.001603807894386943
30,avg_heat_of_vaporization_(kJ/mol)_,0.0015113607351722221
128,range_valence_s,0.0015098158099848497
66,sum_Zunger_radii_sum,0.0013914491723764353
90,range_Atomic_Weight,0.001370426989055276
106,range_Orbital_Radius(pm),0.001336588132230884
52,sum_Density_(g/mL),0.0013346569314501664
87,range_Allred-Rockow_electronegativity,0.0013315323241894046
46,sum_Atomic_Radus,0.0012784652299989022
88,range_Atomic_Number,0.001275893193899469
73,sum_heat_of_vaporization_(kJ/mol)_,0.0012454282857143088
54,sum_Melting_point_(K),0.001196165722321171
93,range_Covalent_Radius,0.0011762244033848852
50,sum_Covalent_Radius,0.0011659116701042292
71,sum_heat_atomization(kJ/mol),0.0010908422101821883
48,sum_Boiling_Point_(K),0.0010494899294917605
42,avg_valence_s,0.0010333763769672496
67,sum_abs_valence,0.0010064830985197317
47,sum_Atomic_Weight,0.0009903508222576672
105,range_Number_of_unfilled_s_valence_electrons,0.0009515878032630881
112,range_gilmor_number_of_valence_electron,0.0009355957136447675
43,sum_1st_ionization_potential_(kJ/mol),0.0009094423730024821
55,sum_Mendele_Number,0.0007917930740267166
53,sum_Gordy_electonegativity,0.0007566778299508778
62,sum_Number_of_unfilled_s_valence_electrons,0.0007359352671220658
113,range_group,0.0007242692675354398
83,sum_valence_f,0.0006859721365817281
17,avg_Number_of_unfilled_f_valence_electrons,0.0006409426778766721
120,range_number_of_valence_electrons,0.0006087411022735778
75,sum_l_quantum_number,0.0006022091456079026
61,sum_Number_of_unfilled_p_valence_electrons,0.0005804394272321474
49,sum_Cohesive_energy,0.0005365134291906756
74,sum_ionic_radius,0.0005303371658043988
57,sum_Molar_Heat_Capacity(J/mol_K),0.00047549586722292383
69,sum_gilmor_number_of_valence_electron,0.00046292792598184976
44,sum_Allred-Rockow_electronegativity,0.0004582176895424537
58,sum_Nagle_electonegativity,0.0004555450850914534
122,range_polarizability(A^3),0.0004271480313108502
40,avg_valence_f,0.000396027755923177
64,sum_Pauling_Electronegativity,0.00039165927665916003
65,sum_Period,0.0003902274168469373
108,range_Period,0.0003787203722429443
111,range_families,0.00035482665613798686
63,sum_Orbital_Radius(pm),0.00035458381932990704
45,sum_Atomic_Number,0.0003328971686577076
68,sum_families,0.00033205171211042253
70,sum_group,0.0003238191928916707
78,sum_outer_shell_electrons,0.0003110149364117496
60,sum_Number_of_unfilled_f_valence_electrons,0.0003082470729588423
118,range_l_quantum_number,0.00027767146552669413
125,range_valence_d,0.0002461312187989814
126,range_valence_f,0.00020835532225161097
104,range_Number_of_unfilled_p_valence_electrons,0.00017515669536122958
77,sum_number_of_valence_electrons,0.0001464465489879986
121,range_outer_shell_electrons,0.0001384692523792533
85,sum_valence_s,0.00013824772940029868
102,range_Number_of_unfilled_d_valence_electrons,7.518735625766734e-05
103,range_Number_of_unfilled_f_valence_electrons,2.291355772035543e-06
