,compound,mp
1187,ScNiSb,0.2679
316,CdSnP2,0.2694999999999998
642,In3CuSe5,0.2720000000000002
371,Cs2Sb,0.2839
1295,Te2Ru,0.2847000000000008
591,Ge2Sb2Te5,0.2878999999999996
703,K2MnSnSe4,0.2896000000000001
1398,YNiSb,0.2945000000000002
1416,ZnAs,0.2952999999999997
87,Ba(ZnAs)2,0.2974000000000001
463,CuBiSeO,0.3006000000000002
1151,RuSe2,0.3137999999999996
1414,Zn3P2,0.3144
650,In6S7,0.3186
1136,RbNb4Br11,0.3233000000000001
1368,UHg4(AsCl3)2,0.3263
1450,ZrSe2,0.3296000000000001
216,Bi2Te3,0.3388
196,BaTaNO2,0.3398000000000003
1023,P2Pd,0.3418999999999998
852,Li3Bi,0.3428999999999997
1153,Sb2Os,0.3447000000000013
634,In2HgS4,0.3467000000000002
1380,VFeSb,0.3487
881,LiMgBi,0.3587000000000002
345,CoSbS,0.3673999999999999
487,Er(CuTe)3,0.3683999999999994
1419,ZnCu2GeS4,0.3693999999999997
1026,P2Rh,0.3704999999999998
195,BaSnO3,0.3723999999999998
1210,Sm2Se3,0.3736999999999999
214,Bi2Se3,0.3769
653,InAgS2,0.3772999999999999
592,Ge3Ru2,0.3814000000000002
1073,PtS,0.3848000000000002
293,CdCu2GeS4,0.3884999999999996
1364,Tm(CuTe)3,0.3903000000000007
915,Mn(SbSe2)2,0.3928000000000002
951,Na3Sb,0.3946
338,CoAsSe,0.3947000000000003
1451,ZrSe3,0.3979000000000003
1055,PdSe2,0.4001000000000001
312,CdSiAs2,0.4001999999999999
1312,TiFe2Si,0.4015999999999984
92,Ba2DyGaTe5,0.4117999999999999
64,AsPRu,0.4142999999999999
1347,TlCuCl3,0.4143000000000001
96,Ba2ErGaTe5,0.4189000000000002
1148,Rh2S3,0.4203000000000001
1053,PdS2,0.4209999999999998
132,Ba2YGaTe5,0.4222000000000001
1048,PbSe,0.4256999999999999
1203,SiSn,0.4291999999999998
1296,Te3As2,0.4326000000000007
1229,Sn3Ir2Se3,0.4375999999999997
339,CoP2,0.4377999999999993
533,FeAsSe,0.4485999999999999
580,Gd2Se3,0.4490000000000003
56,As2Ru,0.4492000000000002
115,Ba2NaCu3S5,0.4504000000000001
173,BaCu2SnSe4,0.4529999999999998
666,InP,0.4546000000000001
62,AsP,0.4581999999999997
673,InSe,0.4590000000000001
651,In6Se7,0.4608000000000007
300,CdHg4(AsI2)2,0.4617
0,Ag2GeS3,0.4646000000000003
1047,PbS,0.4666999999999994
1341,TlBiTe2,0.4683999999999999
1322,Tl2GeTe3,0.4684999999999997
1336,Tl4CuTeO6,0.4697999999999993
761,KCu3S2,0.4727000000000005
134,Ba2YInTe5,0.4731999999999998
1399,YSbPd,0.4744000000000001
1355,TlInS2,0.4748000000000001
922,MnP4,0.4786000000000001
1027,P2Ru,0.4791999999999996
812,La3LuSe6,0.4844999999999997
464,CuBr,0.4870999999999998
597,GeP,0.4889000000000001
913,Mn(PbO2)2,0.4894999999999996
21,AgBiS2,0.4917999999999995
1066,PrLuSe3,0.4935
1011,NdLuSe3,0.4956
141,Ba3FeS4Br,0.4962
473,CuSbSe2,0.4985999999999997
12,Ag7AsS6,0.5009999999999999
541,FePS,0.5054000000000007
1015,Ni2Te3O8,0.5076
593,GeAs,0.5112999999999999
448,Cu2O,0.5126999999999997
1033,POsSe,0.5156999999999998
1243,SnSe,0.5159000000000002
1304,Th2Se5,0.5162000000000004
891,LiZnN,0.5187000000000004
921,MnO2,0.5244999999999997
182,BaGe2,0.5255000000000001
579,Gd2S3,0.5267
636,In2HgTe4,0.5295000000000001
1211,Sm2Te3,0.5334000000000003
610,HfSe2,0.5342000000000002
217,Bi4Pb7Se13,0.5369000000000002
674,IrS2,0.5371000000000006
1357,TlInTe2,0.5400999999999998
215,Bi2Te2Se,0.5441999999999996
807,La2TiCoO6,0.5484
479,Dy2Te3,0.5488
1129,RbHgSbTe3,0.5502000000000002
252,Ca2Si,0.5509000000000004
1195,Si3Ru2,0.5510999999999999
1272,SrZrS3,0.5511999999999997
1176,SbTeRh,0.5520999999999994
1422,ZnCu2SiSe4,0.5549
1351,TlGaTe2,0.5555999999999996
433,CsSb,0.5557999999999996
465,CuCl,0.5569000000000002
1134,RbNa2Sb,0.5682
784,KSm2CuS4,0.5692000000000004
747,KAg2SbS4,0.5695999999999999
1036,PRuS,0.5699000000000005
311,CdSe,0.5724
990,Nb2Tl3CuSe12,0.5732000000000004
803,La2MoO5,0.5754000000000001
250,Ca2Ge,0.5756000000000001
834,LaZnAsO,0.5760000000000005
555,GaAgO2,0.5832999999999999
317,CdTe,0.5846000000000002
1328,Tl2S,0.5885999999999996
478,Dy2S3,0.5937999999999999
1282,TaTlS3,0.5957999999999997
992,Nb3CuO8,0.5998000000000006
978,NaSb,0.6041000000000003
1199,SiGe,0.6059999999999999
778,KSb,0.6095000000000002
14,Ag8GeS6,0.6102000000000003
389,Cs3Sb,0.6126
462,CuBiPbS3,0.6137000000000006
1190,ScTlSe2,0.6146000000000003
1116,RbAg2SbS4,0.6177999999999999
1075,PtSe2,0.6193
365,Cs2Hg6S7,0.6230999999999998
1177,SbTeRu,0.6273999999999997
1021,P2Ir,0.6331000000000007
635,In2HgSe4,0.6337000000000002
982,NaSbSe2,0.6374999999999997
553,Ga2Te3,0.6375000000000002
1329,Tl2Te3,0.6388999999999996
461,CuBi(PSe3)2,0.6399000000000004
973,NaInTe2,0.6416
299,CdGeP2,0.6455000000000002
660,InCuGeSe4,0.6493000000000002
1205,Sm(CuTe)3,0.6511000000000005
1239,SnO2,0.6519000000000004
432,CsRb2Sb,0.6525000000000001
905,MgCu2GeS4,0.6525000000000007
307,CdP4,0.6551
983,NaSbTe2,0.6588999999999992
53,As2Os,0.6646999999999998
119,Ba2NdInTe5,0.6662999999999997
1150,RuS2,0.6683999999999992
759,KCu2BiS3,0.6686000000000005
832,LaTaN2O,0.6712999999999996
772,KNa2Sb,0.6720999999999999
710,K2RbSb,0.6879
542,FeSi2,0.6966000000000001
1244,SnSe2,0.7018
1440,ZnSnP2,0.7042999999999999
564,GaCuS2,0.7056000000000004
1303,TeSe,0.7062000000000008
94,Ba2DyInTe5,0.7071000000000005
828,LaMg2H7Pd,0.7104999999999997
594,GeAs2,0.7195999999999998
1284,Tb(CuTe)3,0.7199
472,CuSbS2,0.7226999999999997
1431,ZnO,0.7227
23,AgBr,0.7303999999999999
562,GaCuGeSe4,0.7335000000000003
1356,TlInSe2,0.7351000000000002
532,FeAsS,0.7373000000000003
1209,Sm2S3,0.7441
98,Ba2ErInTe5,0.7491000000000003
857,LiAsSe2,0.7504
80,BSb,0.7506000000000004
128,Ba2ThCu2Se5,0.7546000000000004
1157,Sb2Se3,0.7564000000000002
466,CuHg(SeO3)2,0.7590999999999999
1000,Nd2S3,0.7595999999999998
1388,Y(CuTe)3,0.7632000000000003
108,Ba2GdGaTe5,0.7637
475,Dy(CuTe)3,0.7643000000000004
114,Ba2InSbSe5,0.7680000000000002
1307,ThSeO,0.7690000000000001
471,CuSbPbS3,0.7698
1057,Pr2S3,0.7775000000000003
625,Ho(CuTe)3,0.7792000000000003
193,BaSi2,0.7812999999999999
563,GaCuO2,0.7812999999999999
1169,SbRuSe,0.7829000000000006
1298,TeI,0.7871000000000001
489,Er2Se3,0.7923
1263,SrPbO3,0.7941000000000003
63,AsPPt,0.7984
794,KV4Ag11O16,0.8009000000000002
540,FeP4,0.8049
1301,TePb,0.8063000000000002
1206,Sm(ErSe2)3,0.8068999999999997
1360,TlS,0.8102
755,KBiSe2,0.8130999999999999
51,As2Ir,0.8155000000000001
